indicator,sex,age,unit,code
5.6.1 Total number of children who entered pre-sentence detention (during the year),_T,_T,NUMBER,JJ_CHLD_DETENTION
5.6.2 Children who entered pre-sentence detention by sex: boys (during the year),M,_T,NUMBER,JJ_CHLD_DETENTION
5.6.3 Children who entered pre-sentence detention by sex: girls (during the year),F,_T,NUMBER,JJ_CHLD_DETENTION
5.7.1 Total number of children as victims involved in criminal proceedings (during the year),_T,_T,NUMBER,JJ_CHLD_VICTIM
5.7.2 Children as victims involved in criminal proceedings by sex: boys (during the year),M,_T,NUMBER,JJ_CHLD_VICTIM
5.7.3 Children as victims involved in criminal proceedings by sex: girls (during the year),F,_T,NUMBER,JJ_CHLD_VICTIM
5.7.4 Children as victims involved in criminal proceedings by age: 13 years or younger (during the year),_T,Y0T13,NUMBER,JJ_CHLD_VICTIM
5.7.5 Children as victims involved in criminal proceedings by age: 14-17 years old (during the year),_T,Y14T17,NUMBER,JJ_CHLD_VICTIM
5.7.6 Total number of children as offenders involved in criminal proceedings (during the year),_T,_T,NUMBER,JJ_CHLD_OFFENDER
5.7.7 Children as offenders involved in criminal proceedings by sex: boys (during the year),M,_T,NUMBER,JJ_CHLD_OFFENDER
5.7.8 Children as offenders involved in criminal proceedings by sex: girls (during the year),F,_T,NUMBER,JJ_CHLD_OFFENDER
5.7.9 Children as offenders involved in criminal proceedings by age: 13 years old and younger (during the year),_T,Y0T13,NUMBER,JJ_CHLD_OFFENDER
5.7.10 Children as offenders involved in criminal proceedings by age: 14-17 years old (during the year),_T,Y14T17,NUMBER,JJ_CHLD_OFFENDER
5.8.1 Total number of children convicted for criminal activity (during the year),_T,_T,NUMBER,JJ_CHLD_CONVICTED
"5.8.2 Children sentencing rate (per 100,000 average population aged 14-17)",_T,_T,NUMBER,JJ_CHLD_SENTENCERT
5.8.3 Children convicted for criminal activity by sex: boys (during the year),M,_T,NUMBER,JJ_CHLD_CONVICTED
5.8.4 Children convicted for criminal activity by sex: girls (during the year),F,_T,NUMBER,JJ_CHLD_CONVICTED
5.8.5 Convicted children by type of crime: violent crimes (during the year),_T,_T,NUMBER,JJ_CHLD_CONVICTED_VIOLENT
5.8.6 Convicted children by type of crime: property crimes (during the year),_T,_T,NUMBER,JJ_CHLD_CONVICTED_PROPERTY
5.8.7 Convicted children by type of crime: other crimes (during the year),_T,_T,NUMBER,JJ_CHLD_CONVICTED_OTHER
"5.8.8 Convicted juveniles by type of sentencing: committal to a closed facility (including prisons, penal colony) (during the year)",_T,_T,NUMBER,JJ_CHLD_SENTENCE_PRISION
5.8.9 Convicted juveniles by type of sentencing: placed in specialized educational/correctional institution (during the year),_T,_T,NUMBER,JJ_CHLD_SENTENCE_CORRECTIONAL
5.8.10 Convicted juveniles by type of sentencing: supervision or probation order (during the year),_T,_T,NUMBER,JJ_CHLD_SENTENCE_PROBATION
5.8.11 Convicted juveniles by type of sentencing: suspended or conditional custodial sentence (during the year),_T,_T,NUMBER,JJ_CHLD_SENTENCE_CUSTODIAL
5.8.12 Convicted juveniles by type of sentencing: fine/financial compensation (during the year),_T,_T,NUMBER,JJ_CHLD_SENTENCE_FINANCIAL
5.8.13 Convicted juveniles by type of sentencing: community service (during the year),_T,_T,NUMBER,JJ_CHLD_SENTENCE_SERVICE
5.8.14 Convicted juveniles by type of sentencing: corrective labour (during the year),_T,_T,NUMBER,JJ_CHLD_SENTENCE_LABOUR
5.8.15 Convicted juveniles by type of sentencing: other (during the year),_T,_T,NUMBER,JJ_CHLD_SENTENCE_OTHER
5.9.1 Total number of children in a closed facility (by reason of their actual or suspected participation in criminal activity) (at the end of the year),_T,_T,NUMBER,JJ_CHLD_PRISION
5.9.2 Total number of children in pre-trial facilities (at the end of the year),_T,_T,NUMBER,JJ_CHLD_PRETRIAL
5.9.3 Number of children in pre-trial facilities by sex: boys (at the end of the year),M,_T,NUMBER,JJ_CHLD_PRETRIAL
5.9.4 Number of children in pre-trial facilities by sex: girls (at the end of the year),F,_T,NUMBER,JJ_CHLD_PRETRIAL
5.9.5 Total number of children in closed facilities following adjudication (at the end of the year),_T,_T,NUMBER,JJ_CHLD_PRISION_ADJUDICATION
5.9.6 Number of children in closed facilities following adjudication by sex: boys (at the end of the year),M,_T,NUMBER,JJ_CHLD_PRISION_ADJUDICATION
5.9.7 Number of children in closed facilities following adjudication by sex: girls (at the end of the year),F,_T,NUMBER,JJ_CHLD_PRISION_ADJUDICATION
6.1.1 Total Social Protection expenditure as % of GDP,_T,_T,PCNT,SP_TOT
6.1.2 Expenditure on cash social benefits as % of GDP,_T,_T,PCNT,SP_SOC_BEN_CASH
6.1.3 Expenditure on social benefits in kind as % of GDP,_T,_T,PCNT,SP_BEN_KIND
6.1.4 Expenditure on social benefits under Family/Children function as % of GDP,_T,_T,PCNT,SP_BEN_FAMILY
6.1.5 Expenditure on cash social benefits under Family/Children function as % of GDP,_T,_T,PCNT,SP_BEN_FAMILY_CASH
6.1.6 Expenditure on social benefits in kind under Family/Children function as % of GDP,_T,_T,PCNT,SP_BEN_FAMILY_KIND
6.1.7 Expenditure on means-tested social protection benefits as % of total social protection expenditure,_T,_T,PCNT,SP_MEANS_TESTED
6.1.8 Expenditure on cash social benefits as % of total social protection expenditure,_T,_T,PCNT,SP_CASH_EXP
6.1.9 Expenditure on social benefits in kind as % of total social protection expenditure,_T,_T,PCNT,SP_KIND_EXP
6.1.10 Expenditure on social benefits under Family/Children function as % of total social protection expenditure,_T,_T,PCNT,SP_BEN_FAMILY_EXP
6.1.11 Social benefits in kind under family/children function as % of total social benefits in kind,_T,_T,PCNT,SP_KIND_FAMILY_KIND
6.1.12 Expenditure on Family allowances as % of total cash expenditure under family/children function,_T,_T,PCNT,SP_FAMILY_ALLOW
6.1.13 Expenditure on Income compensation during maternity as % of total cash expenditure under family/children function,_T,_T,PCNT,SP_IMCOME_MATERNITY
6.1.14  Expenditure on Parental leave as % of total cash expenditure under family/children function,_T,_T,PCNT,SP_PARENTAL_LEAVE
6.1.15 Expenditure on Birth grant as % of total cash expenditure under family/children function,_T,_T,PCNT,SP_BITRH_GRANT
6.1.16 Expenditure on other family cash social benefits as % of total cash expenditure under family/children function,_T,_T,PCNT,SP_OTHER_FAMILY
6.2.1 Total number of children receiving monthly family allowances,_T,_T,NUMBER,SP_ALLOW_CHILD
6.2.2 Number of children receiving means-tested family allowances,_T,_T,NUMBER,SP_ALLOW_MEANSTEST
6.2.3 Number of children of single-parent families receiving specific allowances,_T,_T,NUMBER,SP_ALLOW_SINGLE
6.2.4 Number of children receiving other child allowances,_T,_T,NUMBER,SP_ALLOW_OTHER_CHILD
6.2.5 Number of children for whom foster/guardian allowance is received,_T,_T,NUMBER,SP_ALLOW_FOSGUARD
6.2.6 Total number of families receiving monthly family allowances,_T,_T,NUMBER,SP_ALLOW_FAMILY
6.2.7 Number of single-parent families receiving specific allowances,_T,_T,NUMBER,SP_ALLOW_FAMILY_SINGLE
6.2.8 Number of families receiving other child allowances,_T,_T,NUMBER,SP_ALLOW_FAMILY_OTHER_CHILD
6.2.9 Total number of families receiving foster/guardian allowance,_T,_T,NUMBER,SP_ALLOW_FAMILY_FOSSINGLE
6.2.10 Daily average number of women receiving maternity leave in the period,_T,_T,NUMBER,SP_MOTHLEAVE_DAYSAVG
6.2.11 Total number of women receiving birth grant in the year,_T,_T,NUMBER,SP_WOM_BIRTHGRANT
6.2.12 Daily average number of parents on parental leave,_T,_T,NUMBER,SP_PATLEAVE_DAYSAVG
6.3.1 Total number of pensioners,_T,_T,NUMBER,SP_PENSIONER
6.3.2 Total number of old age pensioners,_T,_T,NUMBER,SP_PENSIONER_OLD
6.3.3 Total number of disability pensioners,_T,_T,NUMBER,SP_PENSIONER_DISAB
6.3.4 Total number of children receiving pension for disability,_T,_T,NUMBER,SP_PENSIONER_DISAB_CHLD
6.3.5 Percentage of disability pensioners who are children,_T,_T,PCNT,SP_PENSIONER_DISAB_CHLDRT
6.3.6 Total number of survivor's pensioners,_T,_T,NUMBER,SP_PENSIONER_SURVIVOR
6.3.7 Total number of orphan's pensions or allowances,_T,_T,NUMBER,SP_PENSION_ORPHAN
6.3.8 Total number of early retirement pensioners,_T,_T,NUMBER,SP_PENSIONER_EARLY
"6.3.9 Total number of veteran, merit and other pensioners",_T,_T,NUMBER,SP_PENSIONER_VETERAN
6.3.10 Average value of pensions (natonal currency),_T,_T,NUMBER,SP_PENSION_VALUE
6.3.11 Average value of old age pensions (natonal currency),_T,_T,NUMBER,SP_PENSION_VALUE_OLD
6.3.12 Average value of  disability  pensions (natonal currency),_T,_T,NUMBER,SP_PENSION_VALUE_DISAB
6.3.13 Average value of  disability  pensions for children (natonal currency),_T,_T,NUMBER,SP_PENSION_VALUE_DISAB_CHLD
6.3.14  Average value of survivors'  pensions (natonal currency),_T,_T,NUMBER,SP_PENSION_VALUE_SURVIVOR
6.3.15  Average value of orphan's pensions or allowances (natonal currency),_T,_T,NUMBER,SP_PENSION_VALUE_ORPHAN
6.3.16 Average minimum pension (natonal currency),_T,_T,NUMBER,SP_PENSION_VALUE_MIN
